,lon,lat,forestcoverfraction
386,71.25,16.25,
387,71.25,16.75,
388,71.25,17.25,
389,71.25,17.75,
390,71.25,18.25,
391,71.25,18.75,
392,71.25,19.25,
393,71.25,19.75,
394,71.25,20.25,
395,71.25,20.75,6.0
396,71.25,21.25,5.0
397,71.25,21.75,8.0
398,71.25,22.25,7.0
399,71.25,22.75,3.0
400,71.25,23.25,1.0
401,71.25,23.75,1.0
402,71.25,24.25,1.0
403,71.25,24.75,0.0
404,71.25,25.25,0.0
405,71.25,25.75,0.0
406,71.25,26.25,0.0
407,71.25,26.75,0.0
408,71.25,27.25,0.0
409,71.25,27.75,0.0
410,71.25,28.25,0.0
411,71.25,28.75,0.0
412,71.25,29.25,3.0
413,71.25,29.75,4.0
414,71.25,30.25,3.0
415,71.25,30.75,2.0
416,71.25,31.25,2.0
417,71.25,31.75,2.0
418,71.25,32.25,3.0
419,71.25,32.75,2.0
420,71.25,33.25,3.0
421,71.25,33.75,7.0
422,71.25,34.25,1.0
423,71.25,34.75,6.0
424,71.25,35.25,17.0
425,71.25,35.75,2.0
426,71.25,36.25,1.0
427,71.75,6.25,
428,71.75,6.75,
429,71.75,7.25,
430,71.75,7.75,
431,71.75,8.25,
432,71.75,8.75,
433,71.75,9.25,
434,71.75,9.75,
435,71.75,10.25,
436,71.75,10.75,
437,71.75,11.25,
438,71.75,11.75,
439,71.75,12.25,
440,71.75,12.75,
441,71.75,13.25,
442,71.75,13.75,
443,71.75,14.25,
444,71.75,14.75,
445,71.75,15.25,
446,71.75,15.75,
447,71.75,16.25,
448,71.75,16.75,
449,71.75,17.25,
450,71.75,17.75,
451,71.75,18.25,
452,71.75,18.75,
453,71.75,19.25,
454,71.75,19.75,
455,71.75,20.25,
456,71.75,20.75,
457,71.75,21.25,7.0
458,71.75,21.75,5.0
459,71.75,22.25,4.0
460,71.75,22.75,3.0
461,71.75,23.25,1.0
462,71.75,23.75,2.0
463,71.75,24.25,2.0
464,71.75,24.75,1.0
465,71.75,25.25,0.0
466,71.75,25.75,0.0
467,71.75,26.25,0.0
468,71.75,26.75,0.0
469,71.75,27.25,0.0
470,71.75,27.75,0.0
471,71.75,28.25,0.0
472,71.75,28.75,0.0
473,71.75,29.25,2.0
474,71.75,29.75,4.0
475,71.75,30.25,4.0
476,71.75,30.75,2.0
477,71.75,31.25,0.0
478,71.75,31.75,0.0
479,71.75,32.25,3.0
480,71.75,32.75,2.0
481,71.75,33.25,1.0
482,71.75,33.75,5.0
483,71.75,34.25,8.0
484,71.75,34.75,8.0
485,71.75,35.25,16.0
486,71.75,35.75,7.0
487,71.75,36.25,3.0
488,72.25,6.25,
489,72.25,6.75,
490,72.25,7.25,
491,72.25,7.75,
492,72.25,8.25,
493,72.25,8.75,
494,72.25,9.25,
495,72.25,9.75,
496,72.25,10.25,
497,72.25,10.75,
498,72.25,11.25,
499,72.25,11.75,
500,72.25,12.25,
501,72.25,12.75,
502,72.25,13.25,
503,72.25,13.75,
504,72.25,14.25,
505,72.25,14.75,
506,72.25,15.25,
507,72.25,15.75,
508,72.25,16.25,
509,72.25,16.75,
510,72.25,17.25,
511,72.25,17.75,
512,72.25,18.25,
513,72.25,18.75,
514,72.25,19.25,
515,72.25,19.75,
516,72.25,20.25,
517,72.25,20.75,
518,72.25,21.25,8.0
519,72.25,21.75,4.0
520,72.25,22.25,1.0
521,72.25,22.75,2.0
522,72.25,23.25,2.0
523,72.25,23.75,2.0
524,72.25,24.25,2.0
525,72.25,24.75,2.0
526,72.25,25.25,1.0
527,72.25,25.75,1.0
528,72.25,26.25,0.0
529,72.25,26.75,0.0
530,72.25,27.25,0.0
531,72.25,27.75,0.0
532,72.25,28.25,0.0
533,72.25,28.75,0.0
534,72.25,29.25,0.0
535,72.25,29.75,3.0
536,72.25,30.25,4.0
537,72.25,30.75,4.0
538,72.25,31.25,3.0
539,72.25,31.75,2.0
540,72.25,32.25,4.0
541,72.25,32.75,3.0
542,72.25,33.25,2.0
543,72.25,33.75,6.0
544,72.25,34.25,7.0
545,72.25,34.75,11.0
546,72.25,35.25,20.0
547,72.25,35.75,5.0
548,72.25,36.25,3.0
549,72.75,6.25,
550,72.75,6.75,
551,72.75,7.25,
552,72.75,7.75,
553,72.75,8.25,
554,72.75,8.75,
555,72.75,9.25,
556,72.75,9.75,
557,72.75,10.25,
558,72.75,10.75,
559,72.75,11.25,
560,72.75,11.75,
561,72.75,12.25,
562,72.75,12.75,
563,72.75,13.25,
564,72.75,13.75,
565,72.75,14.25,
566,72.75,14.75,
567,72.75,15.25,
568,72.75,15.75,
569,72.75,16.25,
570,72.75,16.75,
571,72.75,17.25,
572,72.75,17.75,
573,72.75,18.25,16.0
574,72.75,18.75,12.0
575,72.75,19.25,11.0
576,72.75,19.75,10.0
577,72.75,20.25,10.0
578,72.75,20.75,12.0
579,72.75,21.25,10.0
580,72.75,21.75,6.0
581,72.75,22.25,4.0
582,72.75,22.75,3.0
583,72.75,23.25,3.0
584,72.75,23.75,2.0
585,72.75,24.25,3.0
586,72.75,24.75,3.0
587,72.75,25.25,2.0
588,72.75,25.75,1.0
589,72.75,26.25,1.0
590,72.75,26.75,0.0
591,72.75,27.25,0.0
592,72.75,27.75,0.0
593,72.75,28.25,0.0
594,72.75,28.75,1.0
595,72.75,29.25,1.0
596,72.75,29.75,3.0
597,72.75,30.25,3.0
598,72.75,30.75,4.0
599,72.75,31.25,3.0
600,72.75,31.75,4.0
601,72.75,32.25,5.0
602,72.75,32.75,4.0
603,72.75,33.25,5.0
604,72.75,33.75,6.0
605,72.75,34.25,11.0
606,72.75,34.75,20.0
607,72.75,35.25,19.0
608,72.75,35.75,4.0
609,72.75,36.25,2.0
610,73.25,6.25,
611,73.25,6.75,
612,73.25,7.25,
613,73.25,7.75,
614,73.25,8.25,
615,73.25,8.75,
616,73.25,9.25,
617,73.25,9.75,
618,73.25,10.25,
619,73.25,10.75,
620,73.25,11.25,
621,73.25,11.75,
622,73.25,12.25,
623,73.25,12.75,
624,73.25,13.25,
625,73.25,13.75,
626,73.25,14.25,
627,73.25,14.75,
628,73.25,15.25,
629,73.25,15.75,
630,73.25,16.25,12.0
631,73.25,16.75,9.0
632,73.25,17.25,8.0
633,73.25,17.75,9.0
634,73.25,18.25,8.0
635,73.25,18.75,9.0
636,73.25,19.25,9.0
637,73.25,19.75,7.0
638,73.25,20.25,8.0
639,73.25,20.75,13.0
640,73.25,21.25,10.0
641,73.25,21.75,7.0
642,73.25,22.25,5.0
643,73.25,22.75,4.0
644,73.25,23.25,4.0
645,73.25,23.75,3.0
646,73.25,24.25,3.0
647,73.25,24.75,3.0
648,73.25,25.25,2.0
649,73.25,25.75,1.0
650,73.25,26.25,1.0
651,73.25,26.75,1.0
652,73.25,27.25,0.0
653,73.25,27.75,0.0
654,73.25,28.25,0.0
655,73.25,28.75,0.0
656,73.25,29.25,2.0
657,73.25,29.75,3.0
658,73.25,30.25,3.0
659,73.25,30.75,3.0
660,73.25,31.25,4.0
661,73.25,31.75,4.0
662,73.25,32.25,6.0
663,73.25,32.75,7.0
664,73.25,33.25,7.0
665,73.25,33.75,14.0
666,73.25,34.25,14.0
667,73.25,34.75,21.0
668,73.25,35.25,19.0
669,73.25,35.75,5.0
670,73.25,36.25,2.0
671,73.75,6.25,
672,73.75,6.75,
673,73.75,7.25,
674,73.75,7.75,
675,73.75,8.25,
676,73.75,8.75,
677,73.75,9.25,
678,73.75,9.75,
679,73.75,10.25,
680,73.75,10.75,
681,73.75,11.25,
682,73.75,11.75,
683,73.75,12.25,
684,73.75,12.75,
685,73.75,13.25,
686,73.75,13.75,
687,73.75,14.25,
688,73.75,14.75,
689,73.75,15.25,17.0
690,73.75,15.75,19.0
691,73.75,16.25,13.0
692,73.75,16.75,10.0
693,73.75,17.25,11.0
694,73.75,17.75,12.0
695,73.75,18.25,8.0
696,73.75,18.75,9.0
697,73.75,19.25,8.0
698,73.75,19.75,8.0
699,73.75,20.25,7.0
700,73.75,20.75,9.0
701,73.75,21.25,8.0
702,73.75,21.75,7.0
703,73.75,22.25,5.0
704,73.75,22.75,2.0
705,73.75,23.25,2.0
706,73.75,23.75,2.0
707,73.75,24.25,3.0
708,73.75,24.75,3.0
709,73.75,25.25,3.0
710,73.75,25.75,2.0
711,73.75,26.25,1.0
712,73.75,26.75,2.0
