,lat,lon
148,18.25,39.25
149,18.75,39.25
150,19.25,39.25
151,19.75,39.25
152,20.25,39.25
153,20.75,39.25
154,21.25,39.25
155,21.75,39.25
156,22.25,39.25
157,22.75,39.25
158,23.25,39.25
159,23.75,39.25
160,24.25,39.25
161,24.75,39.25
162,25.25,39.25
163,25.75,39.25
164,26.25,39.25
165,26.75,39.25
166,27.25,39.25
167,27.75,39.25
168,28.25,39.25
169,28.75,39.25
170,29.25,39.25
171,29.75,39.25
172,30.25,39.25
173,30.75,39.25
174,31.25,39.25
175,31.75,39.25
176,32.25,39.25
177,32.75,39.25
178,33.25,39.25
179,33.75,39.25
180,34.25,39.25
181,34.75,39.25
182,35.25,39.25
183,35.75,39.25
184,36.25,39.25
185,36.75,39.25
186,6.25,39.75
187,6.75,39.75
188,7.25,39.75
189,7.75,39.75
190,8.25,39.75
191,8.75,39.75
192,9.25,39.75
193,9.75,39.75
194,10.25,39.75
195,10.75,39.75
196,11.25,39.75
197,11.75,39.75
198,12.25,39.75
199,12.75,39.75
200,13.25,39.75
201,13.75,39.75
202,14.25,39.75
203,14.75,39.75
204,15.25,39.75
205,15.75,39.75
206,16.25,39.75
207,16.75,39.75
208,17.25,39.75
209,17.75,39.75
210,18.25,39.75
211,18.75,39.75
212,19.25,39.75
213,19.75,39.75
214,20.25,39.75
215,20.75,39.75
216,21.25,39.75
217,21.75,39.75
218,22.25,39.75
219,22.75,39.75
220,23.25,39.75
221,23.75,39.75
222,24.25,39.75
223,24.75,39.75
224,25.25,39.75
225,25.75,39.75
226,26.25,39.75
227,26.75,39.75
228,27.25,39.75
229,27.75,39.75
230,28.25,39.75
231,28.75,39.75
232,29.25,39.75
233,29.75,39.75
234,30.25,39.75
235,30.75,39.75
236,31.25,39.75
237,31.75,39.75
238,32.25,39.75
239,32.75,39.75
240,33.25,39.75
241,33.75,39.75
242,34.25,39.75
243,34.75,39.75
244,35.25,39.75
245,35.75,39.75
246,36.25,39.75
247,36.75,39.75
248,6.25,40.25
249,6.75,40.25
250,7.25,40.25
251,7.75,40.25
252,8.25,40.25
253,8.75,40.25
254,9.25,40.25
255,9.75,40.25
256,10.25,40.25
257,10.75,40.25
258,11.25,40.25
259,11.75,40.25
260,12.25,40.25
261,12.75,40.25
262,13.25,40.25
263,13.75,40.25
264,14.25,40.25
265,14.75,40.25
266,15.25,40.25
267,15.75,40.25
268,16.25,40.25
269,16.75,40.25
270,17.25,40.25
271,17.75,40.25
272,18.25,40.25
273,18.75,40.25
274,19.25,40.25
275,19.75,40.25
276,20.25,40.25
277,20.75,40.25
278,21.25,40.25
279,21.75,40.25
280,22.25,40.25
281,22.75,40.25
282,23.25,40.25
283,23.75,40.25
284,24.25,40.25
285,24.75,40.25
286,25.25,40.25
287,25.75,40.25
288,26.25,40.25
289,26.75,40.25
290,27.25,40.25
291,27.75,40.25
292,28.25,40.25
293,28.75,40.25
294,29.25,40.25
295,29.75,40.25
296,30.25,40.25
297,30.75,40.25
298,31.25,40.25
299,31.75,40.25
300,32.25,40.25
301,32.75,40.25
302,33.25,40.25
303,33.75,40.25
304,34.25,40.25
305,34.75,40.25
306,35.25,40.25
307,35.75,40.25
308,36.25,40.25
309,36.75,40.25
310,6.25,40.75
311,6.75,40.75
312,7.25,40.75
313,7.75,40.75
314,8.25,40.75
315,8.75,40.75
316,9.25,40.75
317,9.75,40.75
318,10.25,40.75
319,10.75,40.75
320,11.25,40.75
321,11.75,40.75
322,12.25,40.75
323,12.75,40.75
324,13.25,40.75
325,13.75,40.75
326,14.25,40.75
327,14.75,40.75
328,15.25,40.75
329,15.75,40.75
330,16.25,40.75
331,16.75,40.75
332,17.25,40.75
333,17.75,40.75
334,18.25,40.75
335,18.75,40.75
336,19.25,40.75
337,19.75,40.75
338,20.25,40.75
339,20.75,40.75
340,21.25,40.75
341,21.75,40.75
342,22.25,40.75
343,22.75,40.75
344,23.25,40.75
345,23.75,40.75
346,24.25,40.75
347,24.75,40.75
348,25.25,40.75
349,25.75,40.75
350,26.25,40.75
351,26.75,40.75
352,27.25,40.75
353,27.75,40.75
354,28.25,40.75
355,28.75,40.75
356,29.25,40.75
357,29.75,40.75
358,30.25,40.75
359,30.75,40.75
360,31.25,40.75
361,31.75,40.75
362,32.25,40.75
363,32.75,40.75
364,33.25,40.75
