,lat,lon,forestcoverfraction,year_month,count,sum_frp
207,25.25,90.25,26,2020-04,1,24.2
208,25.25,90.25,26,2021-03,33,3578.7
209,25.25,90.25,26,2022-03,33,5306.3
210,25.25,90.25,26,2022-04,1,19.4
211,25.25,90.25,26,2023-03,26,2470.1000000000004
212,25.25,90.25,26,2024-03,10,2846.6000000000004
213,25.25,90.25,26,2024-04,11,592.3
214,25.75,90.25,29,2001-03,1,34.9
215,25.75,90.25,29,2001-04,1,23.5
216,25.75,90.25,29,2002-03,1,11.9
217,25.75,90.25,29,2003-03,110,15893.9
218,25.75,90.25,29,2003-04,5,268.40000000000003
219,25.75,90.25,29,2004-03,169,23758.8
220,25.75,90.25,29,2005-03,128,36772.0
221,25.75,90.25,29,2005-04,6,373.5
222,25.75,90.25,29,2006-02,1,20.2
223,25.75,90.25,29,2006-03,196,29595.8
224,25.75,90.25,29,2007-03,206,38662.8
225,25.75,90.25,29,2008-03,117,13452.2
226,25.75,90.25,29,2008-04,2,466.0
227,25.75,90.25,29,2009-03,161,32425.1
228,25.75,90.25,29,2010-03,187,27479.9
229,25.75,90.25,29,2011-02,5,178.7
230,25.75,90.25,29,2011-03,116,16261.0
231,25.75,90.25,29,2011-04,2,121.4
232,25.75,90.25,29,2012-03,94,19135.8
233,25.75,90.25,29,2013-03,48,9462.6
234,25.75,90.25,29,2013-04,8,216.7
235,25.75,90.25,29,2014-02,1,32.8
236,25.75,90.25,29,2014-03,121,16973.7
237,25.75,90.25,29,2015-03,155,28341.4
238,25.75,90.25,29,2015-04,2,38.8
239,25.75,90.25,29,2016-03,78,14451.3
240,25.75,90.25,29,2016-04,3,218.1
241,25.75,90.25,29,2017-03,38,4204.2
242,25.75,90.25,29,2017-04,73,7927.900000000001
243,25.75,90.25,29,2018-03,109,11776.0
244,25.75,90.25,29,2019-03,91,17722.6
245,25.75,90.25,29,2020-03,72,9408.2
246,25.75,90.25,29,2020-04,1,22.9
247,25.75,90.25,29,2021-03,58,7671.799999999999
248,25.75,90.25,29,2021-04,2,103.5
249,25.75,90.25,29,2022-03,102,9550.3
250,25.75,90.25,29,2023-03,34,2921.9
251,25.75,90.25,29,2024-03,18,1584.8
252,25.75,90.25,29,2024-04,5,461.6
253,26.25,90.25,11,2003-03,1,32.4
254,26.25,90.25,11,2005-03,1,52.8
255,26.25,90.25,11,2006-03,5,126.6
256,26.25,90.25,11,2007-03,2,155.60000000000002
257,26.25,90.25,11,2008-01,1,35.5
258,26.25,90.25,11,2009-02,1,26.7
259,26.25,90.25,11,2010-01,1,18.5
260,26.25,90.25,11,2010-03,1,13.7
261,26.25,90.25,11,2011-03,1,12.5
262,26.25,90.25,11,2012-02,1,18.6
263,26.25,90.25,11,2012-03,4,69.3
264,26.25,90.25,11,2013-03,5,144.39999999999998
265,26.25,90.25,11,2014-03,1,24.5
266,26.25,90.25,11,2014-04,1,28.9
