field_1,lon,lat,forestcoverfraction
1024,76.25,30.25,13
1025,76.25,30.75,15
1026,76.25,31.25,12
1027,76.25,31.75,19
1028,76.25,32.25,24
1029,76.25,32.75,27
1030,76.25,33.25,13
1084,76.75,29.75,11
1086,76.75,30.75,11
1087,76.75,31.25,20
1088,76.75,31.75,24
1089,76.75,32.25,19
1145,77.25,29.75,13
1146,77.25,30.25,13
1147,77.25,30.75,25
1148,77.25,31.25,25
1149,77.25,31.75,37
1150,77.25,32.25,15
1206,77.75,29.75,12
1207,77.75,30.25,20
1208,77.75,30.75,25
1209,77.75,31.25,33
1210,77.75,31.75,16
1267,78.25,29.75,17
1268,78.25,30.25,29
1269,78.25,30.75,34
1270,78.25,31.25,19
1327,78.75,29.25,11
1328,78.75,29.75,30
1329,78.75,30.25,27
1330,78.75,30.75,30
1388,79.25,29.25,26
1389,79.25,29.75,25
1390,79.25,30.25,33
1391,79.25,30.75,12
1448,79.75,28.75,15
1449,79.75,29.25,33
1450,79.75,29.75,24
1451,79.75,30.25,24
1508,80.25,28.25,15
1509,80.25,28.75,19
1510,80.25,29.25,29
1511,80.25,29.75,30
1512,80.25,30.25,13
1569,80.75,28.25,14
1570,80.75,28.75,25
1572,80.75,29.75,27
1630,81.25,28.25,15
1751,82.25,27.75,17
1812,82.75,27.75,21
1933,83.75,27.25,12
1994,84.25,27.25,20
2055,84.75,27.25,21
